% x, y, z, R, phi, psi, real(u_asym), imag(u_asym), real(v_asym), imag(v_asym), real(w_asym), imag(w_asym)
  0.489332E+000  0.000000E+000 -0.312092E+001  0.315905E+001  0.000000E+000  0.298607E+001  0.253336E-004  0.232454E-003  0.000000E+000  0.000000E+000  0.382502E-003  0.311465E-003
  0.440736E+000  0.000000E+000 -0.312816E+001  0.315905E+001  0.000000E+000  0.300162E+001  0.230777E-004  0.210531E-003  0.000000E+000  0.000000E+000  0.381763E-003  0.304667E-003
  0.392035E+000  0.000000E+000 -0.313463E+001  0.315905E+001  0.000000E+000  0.301717E+001  0.207320E-004  0.188184E-003  0.000000E+000  0.000000E+000  0.381090E-003  0.298529E-003
  0.343238E+000  0.000000E+000 -0.314035E+001  0.315905E+001  0.000000E+000  0.303273E+001  0.183078E-004  0.165464E-003  0.000000E+000  0.000000E+000  0.380485E-003  0.293070E-003
  0.294358E+000  0.000000E+000 -0.314531E+001  0.315905E+001  0.000000E+000  0.304828E+001  0.158158E-004  0.142420E-003  0.000000E+000  0.000000E+000  0.379954E-003  0.288306E-003
  0.245407E+000  0.000000E+000 -0.314951E+001  0.315905E+001  0.000000E+000  0.306383E+001  0.132663E-004  0.119101E-003  0.000000E+000  0.000000E+000  0.379499E-003  0.284251E-003
  0.196397E+000  0.000000E+000 -0.315294E+001  0.315905E+001  0.000000E+000  0.307938E+001  0.106694E-004  0.955530E-004  0.000000E+000  0.000000E+000  0.379123E-003  0.280918E-003
  0.147339E+000  0.000000E+000 -0.315561E+001  0.315905E+001  0.000000E+000  0.309494E+001  0.803474E-005  0.718232E-004  0.000000E+000  0.000000E+000  0.378829E-003  0.278316E-003
  0.982461E-001  0.000000E+000 -0.315752E+001  0.315905E+001  0.000000E+000  0.311049E+001  0.537203E-005  0.479575E-004  0.000000E+000  0.000000E+000  0.378617E-003  0.276452E-003
  0.491290E-001  0.000000E+000 -0.315867E+001  0.315905E+001  0.000000E+000  0.312604E+001  0.269067E-005  0.240013E-004  0.000000E+000  0.000000E+000  0.378490E-003  0.275332E-003
